"Id","Type","Rooms","District","Adress","Floor","HouseFloor","Square","LivSquare","KitSquare","Windows","Furniture","Repair","Balcony glassed","WC","Price"
"0","Living","1","Орджоникидзевский","Сиреневый проезд 28","4","9","32.4","18","9","пластик","да","да","","","2050000"
"1","Living","1","Правобережный"," Им. газеты ""Правда"" 62","1","5","32","17","6","пластик","да","да","","","2050000"
"2","Living","1","Ленинский","Строителей 52","3","3","31","","","пластик","да","да","да","","2100000"
"3","Living","1","Ленинский","Ленинградская 19","5","5","30","","6","пластик","","да","","","2050000"
"4","Living","1","Правобережный"," Советской Армии 33/1","9","9","30","17","6","пластик","да","да","да","совм","1490000"
"5","Living","1","Правобережный","Грязнова 42/2","7","14","34","28","7","деревянные","да","да","да","разд","1600000"
"6","Living","1","Ленинский(Левый берег)","Панькова 3/1","1","3","26","13","7","пластик","","да","","","1000000"
"7","Living","1","Орджоникидзевский (левый берег)","Фадеева 16","2","2","30","18","7","пластик","да","да","","","1350000"
"8","Living","1","Ленинский","Карла Маркса 16","3","5","43","19","14","пластик","да","да","да","","2650000"
"9","Living","1","Орджоникидзевский","Карла Маркса 237/2","4","10","26","16","5","пластик","","да","да","","1800000"
"10","Living","1","Орджоникидзевский","Карла Маркса 237/2","5","10","26","18","4","пластик","","","","","1530000"
"11","Living","1","Орджоникидзевский","Карла Маркса 204/3","2","9","35","18.5","5","деревянные","","да","да","","2400000"
"12","Living","1","Правобережный","Советская 123а/4","2","14","38.4","28.4","10","пластик","","да","","","2515000"
"13","Living","1","Правобережный"," Ленина пр-т 87А","4","15","35.98","16.56","10.34","пластик","","","","","2050000"
"14","Living","1","Орджоникидзевский"," Коробова 16","1","5","32.8","18","7","пластик","да","да","да","совм","2050000"
"15","Living","1","Орджоникидзевский","Ленина пр-т 135/2","1","5","45","","10","пластик","да","да","","","2450000"
"16","Living","1","Ленинский","Октябрьская 30","1","5","32.9","19","5","пластик","да","да","нет","","2000000"
"17","Living","1","Правобережный","Ленина пр-т 98/1","3","9","21.8","10","5","деревянные","","нет","","","1100000"
"18","Living","1","Правобережный","Им. газеты ""Правда"" 83","4","5","34","21","6","","","да","","","1500000"
"19","Living","1","Орджоникидзевский","Труда 9/2","2","9","34","17","9","пластик","","да","да","разд","2150000"
"20","Living","1","Ленинский","Московская 20","2","5","38.1","27","5","пластик","","","","совм","2438000"
"21","Living","1","Ленинский","Московская 20","4","5","43.2","28","10","пластик","","","","","2764000"
"22","Living","1","Ленинский","Московская 20","3","5","36.1","20","10","пластик","","","","","2093000"
"23","Living","1","Ленинский","Московская 20","3","5","41.6","25","10","пластик","","","","","2496000"
"24","Living","1","Орджоникидзевский (левый берег)","Чайковского 51","3","3","35","19","7","пластик","да","да","да","","1600000"
"25","Living","1","Ленинский","Ленина пр-т 18","2","4","20.6","20.6","20.6","пластик","","","","совм","1133000"
"26","Living","1","Ленинский","Ленина пр-т 18","2","4","22.7","22.7","22.7","пластик","","","","совм","1248000"
"27","Living","1","Ленинский","Ленина пр-т 18","2","4","33.8","20","10","пластик","","","","совм","1690000"
"28","Living","1","Ленинский","Карла Маркса 6","5","5","30","19","6","пластик","да","да","да","","1600000"
"29","Living","1","Правобережный","Им. газеты ""Правда"" 12/1","7","9","22","12","5.5","пластик","","да","да","","1420000"
"30","Living","1","Орджоникидзевский","Зеленый Лог 71","1","3","47","19","9","пластик","","","","","2900000"
"31","Living","1","Орджоникидзевский","Жукова 23","6","9","41","19","9","пластик","","да","","","2300000"
"32","Living","1","Правобережный","Советской Армии 37/1","9","9","29.7","17","5","","","нет","","","1290000"
"33","Living","1","Правобережный","Им. газеты ""Правда"" 12/1","1","9","30.2","17","5","","","да","","","1450000"
"34","Living","1","Ленинский"," Карла Маркса 82/2","5","5","31.6","18","6","пластик","","нет","","","1720000"
"35","Living","1","Ленинский","Строителей 58","4","6","59.9","","8.2","пластик","да","да","да","разд","3400000"
"36","Living","1","Правобережный","Грязнова 44/4","12","14","36","","9","пластик","да","да","да","","1610000"
"37","Living","1","Ленинский","Вокзальная 110","2","4","32.1","18.3","6","пластик","","да","да","","1850000"
"38","Living","1","Правобережный","Карла Маркса 128","3","5","31.4","18","6","пластик","да","да","да","","1830000"
"39","Living","1","Орджоникидзевский (левый берег)","Пионерская 25","1","3","33","16","6","пластик","да","да","да","разд","1550000"
"40","Living","1","Орджоникидзевский (левый берег)","Чкалова 6/1","2","5","30","17","6","","","","","совм","1500000"
"41","Living","1","Орджоникидзевский (левый берег)","Чайковского 33","3","3","43","32","6","пластик","да","да","","","1700000"
"42","Living","1","Ленинский","Ленина пр-т 8","4","7","43","22","9","пластик","","да","","совм","3100000"
"43","Living","1","Ленинский","Песчаная 1","2","5","40","20","9","пластик","","да","да","разд","1650000"
"44","Living","1","Ленинский(Левый берег)","Салтыкова-Щедрина 23","5","5","37.5","30","6.5","пластик","","нет","да","разд","1180000"
"45","Living","1","Ленинский","Первомайская 16","1","3","42","20","8","пластик","да","да","да","","2250000"
"46","Living","2","Правобережный","Мичурина 105","2","5","44.5","30","6.5","пластик","да","да","","","2140000"
"47","Living","2","Орджоникидзевский (левый берег)","Бахметьева 14","5","5","57","36","9","пластик","","да","да","","2350000"
"48","Living","2","Ленинский"," Бестужева 10","2","3","42","27","6","","","","","","1350000"
"49","Living","2","Орджоникидзевский (левый берег)","ул. Пушкина 24","2","3","46","29","7.5","пластик","","да","","","1800000"
"50","Living","2","Ленинский","Ленинградская 4","4","4","55","32.5","9","пластик","да","да","да","","3000000"
"51","Living","2","Правобережный","Карла Маркса 122","8","9","45","27","9","пластик","","да","","совм","2570000"
"52","Living","2","Ленинский(Левый берег)","Тарасенко 4","4","5","37","24","6.4","пластик","","да","","совм","1600000"
"53","Living","2","Правобережный","Грязнова 49","2","5","43.1","","6","пластик","да","да","","","2255000"
"54","Living","2","Правобережный","Дружбы 26","1","5","43.7","","6","пластик","да","да","","","2200000"
"55","Living","2","Правобережный","Советская 149","3","5","47.8","","6","пластик","","да","","разд","2050000"
"56","Living","2","Правобережный"," Карла Маркса 124","1","9","41","","6","пластик","","да","","разд","2350000"
"57","Living","2","Ленинский","Карла Маркса 45/4","4","5","44","27.8","6","пластик","да","да","","разд","2300000"
"58","Living","2","Ленинский","Ленинградская 5","5","5","55.2","","","пластик","","","","разд","2550000"
"59","Living","2","Правобережный","Советская 129/3","5","5","46","","6","пластик","да","да","да","","2250000"
"60","Living","2","Ленинский","Карла Маркса 8/1","2","5","44","27","6","пластик","да","да","","совм","2350000"
"61","Living","2","Правобережный","Советская 163","1","2","48.7","22","20","пластик","","да","","","4180000"
"62","Living","2","Правобережный","Суворова 114/2","3","5","44.1","28","6","пластик","","да","да","","2330000"
"63","Living","2","Орджоникидзевский","Зеленый Лог 23","1","10","44.2","27","8","пластик","","","","","2545000"
"64","Living","2","Ленинский"," Чекалина 8","2","5","42","25","6","пластик","","","","совм","2400000"
"65","Living","2","Орджоникидзевский","Зеленый Лог 33","7","10","51.5","33.5","9","пластик","","да","да","","3550000"
"66","Living","2","Правобережный","Суворова 114","5","5","42","27","6","пластик","да","да","да","совм","2650000"
"67","Living","2","Орджоникидзевский","Советская 176","12","14","81.9","44.5","13.3","пластик","да","да","да","","3950000"
"68","Living","2","Орджоникидзевский","Ленина пр-т 135/2","3","5","52","32","9","пластик","да","да","да","","4500000"
"69","Living","2","Орджоникидзевский (левый берег)","Чкалова 102","1","2","53","38","7","","","","","","1490000"
"70","Living","2","Ленинский","Чапаева 30","1","5","54.9","32","10","пластик","да","да","","","3300000"
"71","Living","2","Ленинский"," Уральская 42","1","3","55.6","47.6","8","пластик","","да","","","2990000"
"72","Living","2","Орджоникидзевский","Карла Маркса 237/2","2","10","42","36","5.8","пластик","","","","","2469000"
"73","Living","2","Орджоникидзевский","Зеленый Лог 61","3","3","84","30","25","пластик","","","да","","4560000"
"74","Living","2","Орджоникидзевский","Тевосяна","7","9","65","40","10","пластик","да","да","да","","6000000"
"75","Living","2","Орджоникидзевский","Зеленый Лог 61","3","3","74","48","9","пластик","","","да","","4300000"
"76","Living","2","Орджоникидзевский","Карла Маркса 180","2","9","53","37","7","деревянные","","","да","","1900000"
"77","Living","2","Ленинский","Карла Маркса 5","5","5","42.2","19","6","пластик","да","","","совм","2350000"
"78","Living","2","Орджоникидзевский","Ворошилова 26","8","9","54","32","9","пластик","да","да","да","","3400000"
"79","Living","2","Ленинский","Первомайская 5","2","3","57","34","8","пластик","","да","","","2880000"
"80","Living","2","Правобережный","Ленина пр-т 80","5","9","51.02","31","8","пластик","","да","да","","2900000"
"81","Living","2","Ленинский","Московская 20","5","5","45.6","28.5","10","пластик","","","","","2736000"
"82","Living","2","Ленинский","Московская 20","4","5","46.2","20","10","пластик","","","","","2956000"
"83","Living","2","Орджоникидзевский (левый берег)","Маяковского 21а","8","8","63","45","9","пластик","да","да","да","","2900000"
"84","Living","2","Орджоникидзевский (левый берег)","ул Чайковского 33","1","3","44","30","9.2","пластик","","да","","","2400000"
"85","Living","2","Орджоникидзевский (левый берег)","чкалова 13","4","4","54.7","40","8","пластик","да","","да","","2100000"
"86","Living","2","Ленинский(Левый берег)"," Фрунзе 19","2","3","51","32","5","пластик","да","да","да","","1830000"
"87","Living","2","Орджоникидзевский (левый берег)","Лесная 2а","1","3","48.6","40","7.3","","","","","","1404000"
"88","Living","2","Орджоникидзевский (левый берег)","Лесная 2а","3","3","47","30","10","пластик","","","да","совм","2450000"
"89","Living","2","Орджоникидзевский (левый берег)","Чайковского 61","3","5","74","56","14","","","","","разд","2100000"
"90","Living","2","Правобережный","Енисейская 133","4","5","45.6","29","6","пластик","","да","","","2150000"
"91","Living","2","Ленинский","Куйбышева","1","4","59","33","9","пластик","","да","","совм","3070000"
"92","Living","2","Ленинский","Металлургов 3/2","2","4","57","35","9","пластик","да","да","да","совм","3300000"
"93","Living","3","Правобережный"," Сталеваров 6","4","5","61","45","6","пластик","да","да","да","разд","3100000"
"94","Living","3","Правобережный","Завенягина 8","10","16","90","60","12","пластик","да","да","да","","5200000"
"95","Living","3","Орджоникидзевский","Ворошилова 41","8","10","89","57","12","пластик","да","да","да","","5700000"
"96","Living","3","Орджоникидзевский (левый берег)","Ржевского переулок 5","2","5","68.7","","8","пластик","","","","","1900000"
"97","Living","3","Ленинский","Вокзальная 108","4","5","60","","","пластик","да","да","да","","2500000"
"98","Living","3","Орджоникидзевский","Карла Маркса 192","9","12","63.7","","","пластик","","","да","","3100000"
"99","Living","3","Орджоникидзевский","Карла Маркса 171","4","9","73","","6","пластик","","","да","","3750000"
"100","Living","3","Правобережный"," Суворова 120/2","4","5","57.6","","6","пластик","да","да","","","2850000"
"101","Living","3","Ленинский","Набережная 16","1","5","74.3","50","9","пластик","","","","","3300000"
"102","Living","3","Ленинский","Менделеева 6 ","3","4","83","55","9","пластик","да","да","да","разд","4950000"
"103","Living","3","Орджоникидзевский","Галиуллина 33","4","5","61.2","45","6","пластик","","","","","2970000"
"104","Living","3","Ленинский","Октябрьская 14","3","5","78","50","10","","","","","","4700000"
"105","Living","3","Ленинский","Набережная 6","2","5","74","48","10","пластик","","нет","","разд","3400000"
"106","Living","3","Орджоникидзевский (левый берег)","Ржевского переулок 9","2","5","68","53","6","пластик","да","да","да","","2590000"
"107","Living","3","Орджоникидзевский","Тевосяна 11/3","6","9","58.1","41.4","7.5","пластик","","","да","","2900000"
"108","Living","3","Правобережный","Карла Маркса 156","2","9","59","43","7","","","","","разд","3050000"
"109","Living","3","Орджоникидзевский","Завенягина 1","1","9","66","43","9","","","","","","2970000"
"110","Living","3","Ленинский","Ленина пр-т 33","3","4","90","75","","пластик","да","да","","","5990000"
"111","Living","3","Орджоникидзевский","Труда 49/1","1","9","65","49","9","","","","","","3000000"
"112","Living","3","Правобережный","Сталеваров 28","7","9","64.8","44","9","пластик","","","","","3180000"
"113","Living","3","Ленинский","Уральская 149","2","5","60","43","6.5","пластик","","да","","","2800000"
"114","Living","3","Орджоникидзевский","Карла Маркса 225","2","14","66","39","13","","","","","","3100000"
"115","Living","3","Орджоникидзевский","Советская 217","3","9","65","40","9","деревянные","да","да","","","3300000"
"116","Living","3","Орджоникидзевский","Коробова 18","5","9","64.9","50","9","пластик","да","да","","","3656000"
"117","Living","3","Правобережный","Завенягина 9","3","10","62","38","7.5","","","","","","3650000"
"118","Living","3","Правобережный","Галиуллина 3/4","4","5","62","44","6","","","","","разд","3150000"
"119","Living","3","Правобережный","Советской Армии 5","5","5","63","44","7","пластик","","","да","","2750000"
"120","Living","3","Правобережный","Карла Маркса 139","3","9","65","42","9","пластик","","","да","","3600000"
"121","Living","3","Правобережный","Суворова 119/2","5","5","57","","7","пластик","да","да","да","","3500000"
"122","Living","3","Правобережный","Суворова 127","5","5","62","44","6","пластик","","","нет","","3000000"
"123","Living","3","Орджоникидзевский","Коробова 10","1","7","65","42","8","пластик","","","","","3500000"
"124","Living","3","Орджоникидзевский (левый берег)","Пушкина 26/1","1","5","65","47","7","пластик","","да","","","2450000"
"125","Living","3","Ленинский","Ленинградская 5","1","5","126","80","20","пластик","да","да","","совм","6800000"
"126","Living","3","Орджоникидзевский (левый берег)","Пушкина 34","2","5","67","45","8","","","","","","2600000"
"127","Living","3","Ленинский"," Вокзальная 116","4","4","56.8","","6","пластик","да","да","","","3000000"
"128","Living","3","Орджоникидзевский","Труда 11/1","4","9","61","42","9","пластик","","нет","","разд","3250000"
"129","Living","3","Ленинский","Комсомольская 37","4","4","78.3","","","пластик","","","да","разд","4000000"
"130","Living","3","Правобережный","Советской Армии 49","4","5","58.1","39.6","6.1","пластик","да","","да","","3149000"
"131","Living","3","Орджоникидзевский (левый берег)","Кирова 63","2","3","83.3","64.4","5","","","нет","","","2600000"
"132","Living","3","Орджоникидзевский (левый берег)","Маяковского 21а","4","5","71.2","43.4","8.7","пластик","","да","","разд","2500000"
"133","Living","3","Орджоникидзевский (левый берег)","Чайковского 59А","1","5","61.4","46.5","9","пластик","да","да","","разд","2500000"
"134","Living","3","Ленинский","Куйбышева 20","1","5","78.9","54","8","","","","","разд","3500000"
"135","Living","3","Ленинский","Николая Шишка 22","5","5","74","56","9","пластик","","да","да","","5500000"
"136","Living","3","Ленинский","Герцена 31","4","4","75","55","9","пластик","","нет","","разд","4080000"
"137","Living","3","Ленинский","Герцена 2/2","10","10","81","81","81","пластик","","да","да","","4800000"
"138","Living","3","Орджоникидзевский","Ворошилова 35","3","9","65","42","9","пластик","да","да","да","разд","3700000"
"139","Living","3","Правобережный","Ленина пр-т 126/2","3","5","60.2","37","6","пластик","да","да","да","разд","3250000"
"140","Living","4","Правобережный","Лесопарковая 94","5","5","60.8","45","6","пластик","да","да","да","","2600000"
"141","Living","4","Орджоникидзевский","Труда 39","6","9","75","52","9","пластик","да","да","да","","4800000"
"142","Living","4","Правобережный","Карла Маркса 121","5","5","61","","","пластик","да","да","да","совм","3300000"
"143","Living","4","Орджоникидзевский"," Советская 209/1","11","14","88.5","50","8","пластик","да","да","да","разд","5690000"
"144","Living","4","Орджоникидзевский"," Галиуллина 28","3","5","61","45","7","пластик","","да","","","4500000"
"145","Living","4","Ленинский","Набережная 16","2","5","138","100","27","пластик","да","да","","","8450000"
"146","Living","4","Орджоникидзевский","Ленина пр-т 142/1","6","9","75.6","52","8.5","пластик","","","","","3950000"
"147","Living","4","Правобережный","Советской Армии 1","1","5","61","45","5","","","","","разд","2940000"
"148","Living","4","Орджоникидзевский","Советская 199","1","9","73.9","52","9","пластик","да","да","да","разд","5100000"
"149","Living","4","Ленинский","ул. Тимирязева 45","2","3","82","","","пластик","","","","","4500000"
"150","Living","4","Ленинский(Левый берег)","Салтыкова-Щедрина 1","5","5","60","41","60","пластик","","да","","","2350000"
"151","Living","4","Орджоникидзевский","Труда 35","9","9","75","58","9","пластик","да","да","да","совм","4890000"
"152","Living","4","Правобережный","Ленина пр-т 102","4","5","62","55","7","пластик","да","да","да","разд","3450000"
"153","Living","4","Орджоникидзевский (левый берег)","Красноармейская 5","2","3","80","70","9","пластик","да","да","","разд","3350000"
"154","Living","4","Правобережный","Сталеваров 17/2","15","16","160","120","15","пластик","да","да","да","совм","8490000"
"155","Living","4","Правобережный","Галиуллина 27","1","5","60.8","43","6","пластик","да","","","","2600000"
